kkfls_lon,kkfls_lat,terra_lon,terra_lat,kkfln_lon,kkfln_lat
-151.56001946308322,59.62258437175593,-151.57829382988444,59.63068402437364,-151.5635825700267,59.62375795561202
-151.56011313251642,59.622512721081534,-151.5784470532124,59.63064708040926,-151.56369367507392,59.62369300619075
-151.56020680194962,59.62244107040714,-151.57860027654033,59.630610136444886,-151.5638047801211,59.623628056769476
-151.56030047138282,59.62236941973275,-151.57875349986827,59.630573192480504,-151.56391588516829,59.6235631073482
-151.56039414081602,59.62229776905835,-151.5789067231962,59.63053624851613,-151.56402699021547,59.623498157926925
-151.5604878102492,59.622226118383956,-151.57905994652415,59.63049930455175,-151.56413809526265,59.62343320850565
-151.5605814796824,59.622154467709564,-151.5792131698521,59.63046236058737,-151.56424920030983,59.62336825908438
-151.5606751491156,59.62208281703517,-151.57936639318004,59.63042541662299,-151.564360305357,59.62330330966311
-151.5607688185488,59.62201116636078,-151.57951961650798,59.63038847265861,-151.56447141040422,59.62323836024183
-151.560862487982,59.62193951568638,-151.57967283983592,59.630351528694234,-151.5645825154514,59.623173410820556
-151.5609561574152,59.621867865011986,-151.57982606316386,59.63031458472985,-151.5646936204986,59.62310846139928
-151.5610498268484,59.62179621433759,-151.5799792864918,59.63027764076548,-151.56480472554577,59.62304351197801
-151.5611434962816,59.6217245636632,-151.58013250981975,59.630240696801096,-151.56491583059295,59.62297856255674
-151.56123716571483,59.62165291298881,-151.5802857331477,59.63020375283672,-151.56502693564013,59.62291361313546
-151.56133083514803,59.62158126231441,-151.58043895647566,59.63016680887234,-151.56513804068734,59.62284866371419
-151.56142450458123,59.621509611640015,-151.5805921798036,59.630129864907964,-151.56524914573453,59.622783714292915
-151.56151817401442,59.62143796096562,-151.58074540313154,59.63009292094358,-151.5653602507817,59.62271876487164
-151.56161184344762,59.62136631029123,-151.5808986264595,59.63005597697921,-151.5654713558289,59.62265381545037
-151.56170551288082,59.62129465961684,-151.58105184978743,59.630019033014825,-151.56558246087607,59.62258886602909
-151.56179918231402,59.62122300894244,-151.58120507311537,59.62998208905045,-151.56569356592325,59.62252391660782
-151.56189285174722,59.621151358268044,-151.5813582964433,59.62994514508607,-151.56580467097046,59.622458967186546
-151.56198652118042,59.62107970759365,-151.58151151977125,59.629908201121694,-151.56591577601765,59.622394017765274
-151.5620801906136,59.62100805691926,-151.5816647430992,59.62987125715731,-151.56602688106483,59.622329068344
-151.5621738600468,59.620936406244866,-151.58181796642714,59.62983431319294,-151.566137986112,59.62226411892272
-151.56226752948,59.620864755570466,-151.58197118975508,59.629797369228555,-151.5662490911592,59.62219916950145
-151.5623611989132,59.62079310489607,-151.58212441308302,59.62976042526418,-151.56636019620638,59.62213422008018
-151.5624548683464,59.62072145422168,-151.58227763641096,59.6297234812998,-151.56647130125356,59.622069270658905
-151.5625485377796,59.62064980354729,-151.58243085973893,59.629686537335424,-151.56658240630077,59.622004321237625
-151.56264220721283,59.620578152872895,-151.58258408306688,59.62964959337104,-151.56669351134795,59.62193937181635
-151.56273587664603,59.620506502198495,-151.58273730639482,59.62961264940666,-151.56680461639513,59.62187442239508
-151.56282954607923,59.6204348515241,-151.58289052972276,59.629575705442285,-151.5669157214423,59.62180947297381
-151.56292321551243,59.62036320084971,-151.5830437530507,59.6295387614779,-151.5670268264895,59.621744523552536
-151.56301688494563,59.62029155017532,-151.58319697637864,59.62950181751353,-151.56713793153668,59.62167957413126
-151.56311055437882,59.62021989950092,-151.5833501997066,59.629464873549146,-151.5672490365839,59.621614624709984
-151.56320422381202,59.620148248826524,-151.58350342303453,59.62942792958477,-151.56736014163107,59.62154967528871
-151.56329789324522,59.62007659815213,-151.58365664636247,59.62939098562039,-151.56747124667825,59.62148472586744
-151.56339156267842,59.62000494747774,-151.5838098696904,59.629354041656015,-151.56758235172543,59.62141977644617
-151.56348523211162,59.619933296803346,-151.58396309301835,59.62931709769163,-151.56769345677262,59.62135482702489
-151.56357890154482,59.619861646128946,-151.5841163163463,59.62928015372726,-151.5678045618198,59.621289877603616
-151.563672570978,59.61978999545455,-151.58426953967424,59.629243209762876,-151.567915666867,59.62122492818234
-151.5637662404112,59.61971834478016,-151.5844227630022,59.6292062657985,-151.5680267719142,59.62115997876107
-151.5638599098444,59.61964669410577,-151.58457598633015,59.62916932183412,-151.56813787696137,59.6210950293398
-151.5639535792776,59.619575043431375,-151.5847292096581,59.629132377869745,-151.56824898200856,59.62103007991852
-151.5640472487108,59.619503392756975,-151.58488243298603,59.62909543390536,-151.56836008705574,59.62096513049725
-151.56414091814403,59.61943174208258,-151.58503565631398,59.62905848994099,-151.56847119210292,59.620900181075974
-151.56423458757723,59.61936009140819,-151.58518887964192,59.629021545976606,-151.5685822971501,59.6208352316547
-151.56432825701043,59.6192884407338,-151.58534210296986,59.62898460201223,-151.5686934021973,59.62077028223342
-151.56442192644363,59.619216790059404,-151.5854953262978,59.62894765804785,-151.5688045072445,59.62070533281215
-151.56451559587683,59.619145139385004,-151.58564854962574,59.628910714083474,-151.56891561229168,59.62064038339088
-151.56460926531003,59.61907348871061,-151.5858017729537,59.62887377011909,-151.56902671733886,59.620575433969606
-151.56470293474322,59.61900183803622,-151.58595499628163,59.62883682615471,-151.56913782238604,59.62051048454833
-151.56479660417642,59.618930187361826,-151.58610821960957,59.628799882190336,-151.56924892743322,59.620445535127054
-151.56489027360962,59.61885853668743,-151.5862614429375,59.628762938225954,-151.56936003248043,59.62038058570578
-151.56498394304282,59.618786886013034,-151.58641466626545,59.62872599426158,-151.56947113752761,59.62031563628451
-151.56507761247602,59.61871523533864,-151.58656788959343,59.6286890502972,-151.5695822425748,59.62025068686324
-151.56517128190922,59.61864358466425,-151.58672111292137,59.62865210633282,-151.56969334762198,59.620185737441965
-151.5652649513424,59.618571933989855,-151.5868743362493,59.62861516236844,-151.56980445266916,59.620120788020685
-151.5653586207756,59.61850028331546,-151.58702755957725,59.628578218404066,-151.56991555771634,59.62005583859941
-151.5654522902088,59.61842863264106,-151.5871807829052,59.628541274439684,-151.57002666276355,59.61999088917814
-151.56554595964204,59.61835698196667,-151.58733400623314,59.62850433047531,-151.57013776781073,59.61992593975687
-151.56563962907524,59.61828533129228,-151.58748722956108,59.62846738651093,-151.57024887285792,59.619860990335596
-151.56573329850843,59.618213680617885,-151.58764045288902,59.62843044254655,-151.5703599779051,59.619796040914316
-151.56582696794163,59.61814202994349,-151.58779367621696,59.62839349858217,-151.57047108295228,59.619731091493044
-151.56592063737483,59.61807037926909,-151.5879468995449,59.628356554617795,-151.57058218799946,59.61966614207177
-151.56601430680803,59.6179987285947,-151.58810012287285,59.62831961065341,-151.57069329304665,59.6196011926505
